PullRequestTitle,PullRequestNumber,PullRequestState,PullRequestCreatedAt,PullRequestUpdatedAt,PullRequestClosedAt,PullRequestMergedAt,PullRequestAuthor,PullRequestReviewsCount,PullRequestReviewers,PullRequestCommentsCount,ReviewDuration
Rename LendingPoolAddressesProvider to PoolAddressesProvider,3,MERGED,2021-07-27T16:52:29Z,2021-07-28T16:49:39Z,2021-07-28T16:49:37Z,2021-07-28T16:49:36Z,The-3D,3,"['miguelmtzinf', 'The-3D', 'miguelmtzinf']",0,0 days 23:57:08
Rename LendingPoolAddressesProviderRegistry to PoolAddressesProviderRegistry,6,CLOSED,2021-07-27T17:33:32Z,2021-07-28T12:15:05Z,2021-07-28T12:15:05Z,,The-3D,3,"['miguelmtzinf', 'The-3D', 'miguelmtzinf']",0,0 days 18:41:33
 Rename LendingPoolAddressesProviderRegistry to PoolAddressesProviderRegistry,7,MERGED,2021-07-28T12:16:13Z,2021-07-28T21:12:05Z,2021-07-28T21:12:02Z,2021-07-28T21:12:02Z,The-3D,3,"['miguelmtzinf', 'The-3D', 'miguelmtzinf']",0,0 days 08:55:49
Rename LendingPoolConfigurator to PoolConfigurator,8,MERGED,2021-07-28T12:51:32Z,2021-07-28T21:12:18Z,2021-07-28T21:12:15Z,2021-07-28T21:12:15Z,The-3D,3,"['miguelmtzinf', 'The-3D', 'miguelmtzinf']",0,0 days 08:20:43
Rename LendingPoolCollateralManager to PoolCollateralManager,14,MERGED,2021-07-28T15:16:26Z,2021-08-01T07:10:28Z,2021-07-29T14:44:10Z,2021-07-29T14:44:10Z,The-3D,3,"['miguelmtzinf', 'The-3D', 'miguelmtzinf']",0,0 days 23:27:44
Rename LendingPoolStorage to PoolStorage,15,MERGED,2021-07-28T16:39:32Z,2021-07-30T08:02:17Z,2021-07-30T08:02:14Z,2021-07-30T08:02:14Z,The-3D,3,"['miguelmtzinf', 'The-3D', 'miguelmtzinf']",0,1 days 15:22:42
Rename LendingPool to Pool,16,MERGED,2021-07-28T16:40:01Z,2021-07-30T10:03:17Z,2021-07-30T10:03:14Z,2021-07-30T10:03:13Z,The-3D,3,"['miguelmtzinf', 'The-3D', 'miguelmtzinf']",0,1 days 17:23:13
Rename LendingRateOracle to RateOracle,17,MERGED,2021-07-29T12:24:18Z,2021-08-01T07:10:27Z,2021-07-29T14:44:36Z,2021-07-29T14:44:36Z,The-3D,3,"['miguelmtzinf', 'The-3D', 'miguelmtzinf']",0,0 days 02:20:18
Rename code of PoolAddresesProvider,23,MERGED,2021-07-30T12:18:47Z,2021-07-30T13:36:56Z,2021-07-30T13:36:53Z,2021-07-30T13:36:52Z,The-3D,3,"['miguelmtzinf', 'The-3D', 'miguelmtzinf']",0,0 days 01:18:06
Rename code of Pool,24,MERGED,2021-07-30T12:20:34Z,2021-07-30T13:43:13Z,2021-07-30T13:43:10Z,2021-07-30T13:43:09Z,The-3D,3,"['miguelmtzinf', 'The-3D', 'miguelmtzinf']",0,0 days 01:22:36
Rename code of Errors Library,25,MERGED,2021-07-30T12:21:33Z,2021-08-01T07:10:26Z,2021-07-30T13:43:22Z,2021-07-30T13:43:22Z,The-3D,3,"['miguelmtzinf', 'The-3D', 'miguelmtzinf']",0,0 days 01:21:49
Rename last references of `LendingPool` in the code,26,MERGED,2021-07-30T13:04:38Z,2021-07-30T13:44:07Z,2021-07-30T13:44:04Z,2021-07-30T13:44:04Z,The-3D,3,"['miguelmtzinf', 'The-3D', 'miguelmtzinf']",0,0 days 00:39:26
Refactored contract names and functions,29,MERGED,2021-08-01T07:10:44Z,2021-08-01T07:11:02Z,2021-08-01T07:10:56Z,2021-08-01T07:10:56Z,The-3D,3,"['miguelmtzinf', 'The-3D', 'miguelmtzinf']",0,0 days 00:00:12
Feat/remove adapters,30,MERGED,2021-08-01T22:30:19Z,2021-08-03T15:36:32Z,2021-08-03T15:36:27Z,2021-08-03T15:36:27Z,The-3D,3,"['miguelmtzinf', 'The-3D', 'miguelmtzinf']",0,1 days 17:06:08
Fix/formatting,31,MERGED,2021-08-02T17:41:42Z,2021-08-03T15:35:48Z,2021-08-03T15:35:44Z,2021-08-03T15:35:44Z,The-3D,3,"['miguelmtzinf', 'The-3D', 'miguelmtzinf']",0,0 days 21:54:02
Feat/remove weth gateway,32,MERGED,2021-08-02T21:30:35Z,2021-08-03T15:37:07Z,2021-08-03T15:37:04Z,2021-08-03T15:37:04Z,The-3D,3,"['miguelmtzinf', 'The-3D', 'miguelmtzinf']",0,0 days 18:06:29
