PullRequestTitle,PullRequestNumber,PullRequestState,PullRequestCreatedAt,PullRequestUpdatedAt,PullRequestClosedAt,PullRequestMergedAt,PullRequestAuthor,PullRequestReviewsCount,PullRequestReviewers,PullRequestCommentsCount,ReviewDuration
Compound Protocol v2.2 Release Candidate,1,MERGED,2019-10-12T17:44:40Z,2019-10-30T22:19:02Z,2019-10-30T22:19:01Z,2019-10-30T22:19:01Z,hayesgm,0,[],1,18 days 04:34:21
Bump lodash from 4.17.11 to 4.17.15 in /scenario,2,CLOSED,2019-10-30T22:20:15Z,2020-01-13T19:13:19Z,2020-01-13T19:13:09Z,,dependabot,0,[],1,74 days 20:52:54
Bump mixin-deep from 1.3.1 to 1.3.2,3,CLOSED,2019-10-30T22:20:16Z,2020-01-13T19:13:25Z,2020-01-13T19:13:10Z,,dependabot,0,[],1,74 days 20:52:54
Bump webpack-bundle-analyzer from 3.1.0 to 3.3.2 in /scenario,4,CLOSED,2019-10-30T22:20:17Z,2020-01-13T19:13:25Z,2020-01-13T19:13:10Z,,dependabot,0,[],1,74 days 20:52:53
Bump fstream from 1.0.11 to 1.0.12 in /scenario,5,CLOSED,2019-10-30T22:20:18Z,2020-01-13T19:13:26Z,2020-01-13T19:13:10Z,,dependabot,0,[],1,74 days 20:52:52
Bump mixin-deep from 1.3.1 to 1.3.2 in /scenario,6,CLOSED,2019-10-30T22:20:18Z,2020-01-13T19:13:26Z,2020-01-13T19:13:11Z,,dependabot,0,[],1,74 days 20:52:53
Bump handlebars from 4.0.12 to 4.5.1,7,CLOSED,2019-10-30T22:20:21Z,2019-12-03T20:09:45Z,2019-12-03T20:09:43Z,,dependabot,0,[],1,33 days 21:49:22
Comptroller.sol typo fix,8,CLOSED,2019-11-01T16:14:14Z,2022-01-21T23:59:00Z,2020-06-25T22:19:30Z,,bshevchenko,0,[],1,237 days 06:05:16
Update Whitepaper to 1.0,9,CLOSED,2019-11-26T16:18:07Z,2020-06-25T22:15:20Z,2020-06-25T22:15:20Z,,marcuswin,0,[],1,212 days 05:57:13
Compound v2.3 Pre-Release,10,MERGED,2019-12-03T20:02:25Z,2019-12-03T20:02:33Z,2019-12-03T20:02:32Z,2019-12-03T20:02:32Z,hayesgm,0,[],1,0 days 00:00:07
Bump handlebars from 4.0.12 to 4.5.3,11,CLOSED,2019-12-03T20:09:40Z,2020-01-13T19:13:25Z,2020-01-13T19:13:11Z,,dependabot,0,[],1,40 days 23:03:31
Bump js-yaml from 3.12.1 to 3.13.1,12,CLOSED,2019-12-04T01:59:02Z,2020-01-13T19:13:26Z,2020-01-13T19:13:11Z,,dependabot,0,[],1,40 days 17:14:09
Add cDAIDelegate and DSR interest rate model,13,MERGED,2019-12-20T01:03:28Z,2019-12-20T01:06:09Z,2019-12-20T01:06:08Z,2019-12-20T01:06:08Z,jflatow,0,[],1,0 days 00:02:40
Bump fstream from 1.0.11 to 1.0.12,14,CLOSED,2019-12-20T01:06:57Z,2020-01-13T19:13:25Z,2020-01-13T19:13:12Z,,dependabot,0,[],1,24 days 18:06:15
Use a permissive open source license,15,CLOSED,2020-01-30T01:14:09Z,2020-06-15T04:21:07Z,2020-06-15T04:21:07Z,,travs,0,[],1,137 days 03:06:58
fix CToken admin role acceptance function,16,CLOSED,2020-02-07T00:49:36Z,2020-02-07T02:16:55Z,2020-02-07T02:16:28Z,,ItsNickBarry,0,[],1,0 days 01:26:52
add tbtc,17,MERGED,2020-02-12T00:29:16Z,2020-02-12T00:50:20Z,2020-02-12T00:50:19Z,2020-02-12T00:50:19Z,maxwolff,0,[],1,0 days 00:21:03
new proxy,18,CLOSED,2020-02-12T01:51:27Z,2020-06-10T18:05:52Z,2020-02-12T02:09:30Z,,maxwolff,0,[],1,0 days 00:18:03
update proxy,19,MERGED,2020-02-12T02:09:12Z,2020-02-12T02:09:52Z,2020-02-12T02:09:51Z,2020-02-12T02:09:51Z,maxwolff,0,[],1,0 days 00:00:39
Add .circleci/config.yml,20,CLOSED,2020-02-25T09:54:36Z,2020-06-25T22:20:18Z,2020-06-25T22:20:17Z,,Ces-aq,0,[],1,121 days 12:25:41
