PullRequestTitle,PullRequestNumber,PullRequestState,PullRequestCreatedAt,PullRequestUpdatedAt,PullRequestClosedAt,PullRequestMergedAt,PullRequestAuthor,PullRequestReviewsCount,PullRequestReviewers,PullRequestCommentsCount,ReviewDuration
Log events. WIP,1,CLOSED,2018-07-02T01:05:12Z,2018-07-03T01:46:43Z,2018-07-03T01:46:20Z,,gbalabasquer,0,[],0,1 days 00:41:08
Event logging - first pass,2,MERGED,2018-07-03T01:51:05Z,2018-08-24T23:45:18Z,2018-08-24T23:42:40Z,2018-08-24T23:42:40Z,gbalabasquer,0,[],0,52 days 21:51:35
"Add dach, a Dai automated clearing house",3,CLOSED,2018-08-12T16:52:31Z,2019-05-13T15:33:46Z,2019-01-23T00:28:35Z,,gbalabasquer,0,[],0,163 days 07:36:04
Group interfaces in a file,4,CLOSED,2018-08-17T15:35:30Z,2018-08-23T14:12:07Z,2018-08-23T14:11:51Z,,gbalabasquer,0,[],0,5 days 22:36:21
Events,5,MERGED,2018-08-24T23:48:23Z,2018-10-16T23:35:43Z,2018-08-27T17:46:44Z,2018-08-27T17:46:44Z,gbalabasquer,0,[],0,2 days 17:58:21
readme: link wiki & developing.md,6,MERGED,2018-09-19T20:15:50Z,2018-11-23T09:43:58Z,2018-11-23T09:43:58Z,2018-11-23T09:43:58Z,gbalabasquer,0,[],0,64 days 13:28:08
add Ink to frob and bite events,7,CLOSED,2018-10-16T23:40:33Z,2018-10-16T23:43:44Z,2018-10-16T23:43:30Z,,gbalabasquer,0,[],0,0 days 00:02:57
drip event,8,CLOSED,2018-10-22T22:54:26Z,2021-02-05T12:07:11Z,2019-01-16T00:31:01Z,,gbalabasquer,0,[],0,85 days 01:36:35
README: specify independently from whom,9,MERGED,2018-11-16T14:20:23Z,2018-11-16T14:22:38Z,2018-11-16T14:22:32Z,2018-11-16T14:22:32Z,gbalabasquer,0,[],0,0 days 00:02:09
Use transfer in exit instead of transferFrom,10,MERGED,2018-11-19T17:28:40Z,2018-11-24T06:40:32Z,2018-11-24T06:40:28Z,2018-11-24T06:40:28Z,gbalabasquer,0,[],0,4 days 13:11:48
Add .travis.yml,11,MERGED,2018-11-21T18:01:27Z,2018-11-23T09:50:55Z,2018-11-23T09:50:50Z,2018-11-23T09:50:50Z,gbalabasquer,0,[],0,1 days 15:49:23
Enable solidity styling on github,12,MERGED,2018-11-22T13:49:56Z,2019-03-08T17:47:52Z,2018-11-23T09:43:11Z,2018-11-23T09:43:11Z,gbalabasquer,0,[],0,0 days 19:53:15
Make daiMove can access to any urn,13,CLOSED,2018-12-11T14:12:12Z,2018-12-12T18:14:13Z,2018-12-12T16:12:33Z,,gbalabasquer,0,[],0,1 days 02:00:21
traivs: run tests with solc 0.5.0,14,MERGED,2018-12-12T18:18:33Z,2019-01-10T15:38:21Z,2019-01-10T15:38:14Z,2019-01-10T15:38:14Z,gbalabasquer,0,[],0,28 days 21:19:41
expand docs re: maths & multiplication,15,MERGED,2019-01-10T15:17:36Z,2019-01-14T18:24:03Z,2019-01-14T18:23:59Z,2019-01-14T18:23:59Z,gbalabasquer,0,[],0,4 days 03:06:23
travis: use solc 0.5.0,16,CLOSED,2019-01-10T15:19:44Z,2019-01-10T15:37:41Z,2019-01-10T15:37:36Z,,gbalabasquer,0,[],0,0 days 00:17:52
DaiMove and GemMove can access to the full rad value in vat,18,CLOSED,2019-01-16T17:46:27Z,2019-03-08T17:48:31Z,2019-03-08T17:46:04Z,,gbalabasquer,0,[],0,50 days 23:59:37
add messages to requires in frob,19,CLOSED,2019-01-18T01:51:24Z,2019-03-29T19:21:27Z,2019-03-29T19:21:27Z,,gbalabasquer,0,[],0,70 days 17:30:03
Debt dust limit. Closes #20,21,CLOSED,2019-01-18T13:50:54Z,2019-03-08T17:46:51Z,2019-03-08T17:41:05Z,,gbalabasquer,0,[],0,49 days 03:50:11
"uint multiplication for flip, flap n' flop",22,CLOSED,2019-01-23T00:28:03Z,2019-03-20T17:41:48Z,2019-03-18T15:14:46Z,,gbalabasquer,0,[],0,54 days 14:46:43
Math opinions,24,CLOSED,2019-03-18T15:15:02Z,2019-05-29T23:40:43Z,2019-04-07T19:28:15Z,,gbalabasquer,0,[],0,20 days 04:13:13
rename slip's quantity arg to wad,25,MERGED,2019-03-27T01:52:18Z,2019-03-27T10:07:41Z,2019-03-27T10:07:37Z,2019-03-27T10:07:37Z,gbalabasquer,0,[],0,0 days 08:15:19
request slots for art slab,26,CLOSED,2019-03-27T19:11:13Z,2019-09-10T19:05:46Z,2019-09-10T19:05:46Z,,gbalabasquer,0,[],0,166 days 23:54:33
"Dai, dai.t.sol; Use bytes32 instead of dynamic string type.",27,CLOSED,2019-04-07T19:26:41Z,2019-04-12T08:54:14Z,2019-04-10T00:23:44Z,,gbalabasquer,0,[],0,2 days 04:57:03
Add descriptive comments,29,CLOSED,2019-04-19T22:06:07Z,2019-04-19T22:12:14Z,2019-04-19T22:06:50Z,,gbalabasquer,0,[],0,0 days 00:00:43
Remove EthJoin from dss; weth suffices,31,CLOSED,2019-05-01T17:35:00Z,2019-05-02T16:29:36Z,2019-05-02T15:18:25Z,,gbalabasquer,0,[],0,0 days 21:43:25
Pip value is a wad,33,CLOSED,2019-05-23T18:06:42Z,2019-05-25T13:45:25Z,2019-05-25T07:43:51Z,,gbalabasquer,0,[],0,1 days 13:37:09
fix: note,34,MERGED,2019-05-25T10:56:11Z,2019-09-10T12:17:39Z,2019-05-25T12:45:41Z,2019-05-25T12:45:40Z,gbalabasquer,0,[],0,0 days 01:49:30
Merge dsr,35,MERGED,2019-05-26T05:14:19Z,2019-05-29T10:10:21Z,2019-05-29T10:10:17Z,2019-05-29T10:10:17Z,gbalabasquer,0,[],0,3 days 04:55:58
Merge spotter,36,MERGED,2019-05-26T21:29:21Z,2019-05-29T10:04:31Z,2019-05-29T10:04:26Z,2019-05-29T10:04:26Z,gbalabasquer,0,[],0,2 days 12:35:05
"cage: bugfixes, type documentation, safe math.",37,MERGED,2019-05-29T17:40:52Z,2019-05-29T18:16:04Z,2019-05-29T18:16:00Z,2019-05-29T18:15:59Z,gbalabasquer,0,[],0,0 days 00:35:08
"vow, jug, pot: remove unneccessary restrictions on time variables",38,MERGED,2019-05-29T17:41:49Z,2019-05-30T00:00:20Z,2019-05-29T18:12:44Z,2019-05-29T18:12:44Z,gbalabasquer,0,[],0,0 days 00:30:55
"flop, flap: change dai variable name to vat",39,MERGED,2019-05-30T16:39:48Z,2019-06-01T13:53:11Z,2019-06-01T13:53:04Z,2019-06-01T13:53:04Z,gbalabasquer,0,[],0,1 days 21:13:16
Constant dai,40,MERGED,2019-05-31T12:19:50Z,2019-06-01T13:53:34Z,2019-06-01T13:53:29Z,2019-06-01T13:53:29Z,gbalabasquer,0,[],0,1 days 01:33:39
"frob, fork - don't compute the same mul several times",41,MERGED,2019-06-03T13:45:54Z,2019-06-03T13:51:32Z,2019-06-03T13:51:28Z,2019-06-03T13:51:28Z,gbalabasquer,0,[],0,0 days 00:05:34
Add trail of bits audit report,42,MERGED,2019-06-11T16:23:00Z,2019-06-11T16:44:04Z,2019-06-11T16:35:30Z,2019-06-11T16:35:30Z,gbalabasquer,0,[],0,0 days 00:12:30
"dai, end: Add logging",43,MERGED,2019-06-13T17:32:59Z,2019-06-18T16:12:46Z,2019-06-18T16:12:43Z,2019-06-18T16:12:43Z,gbalabasquer,0,[],0,4 days 22:39:44
add DSNote to dai and end to be used with rely/deny auth,44,CLOSED,2019-06-17T19:49:40Z,2019-06-17T20:27:49Z,2019-06-17T20:27:45Z,,gbalabasquer,0,[],0,0 days 00:38:05
timestamp housekeeping,45,MERGED,2019-07-03T11:55:09Z,2019-07-03T15:12:37Z,2019-07-03T15:12:34Z,2019-07-03T15:12:34Z,gbalabasquer,0,[],0,0 days 03:17:25
update travis to latest solc,46,CLOSED,2019-07-03T13:18:12Z,2019-07-03T15:12:50Z,2019-07-03T15:12:46Z,,gbalabasquer,0,[],0,0 days 01:54:34
Add pit to the vow instead of fixed address(0),47,CLOSED,2019-07-10T13:52:52Z,2019-09-10T12:12:53Z,2019-07-10T20:05:02Z,,gbalabasquer,0,[],0,0 days 06:12:10
Update end.sol,48,CLOSED,2019-08-02T18:43:31Z,2019-08-03T01:24:13Z,2019-08-03T01:24:13Z,,gbalabasquer,0,[],0,0 days 06:40:42
add rho check to join,49,MERGED,2019-08-06T16:08:37Z,2022-04-05T11:07:21Z,2019-08-06T20:50:27Z,2019-08-06T20:50:27Z,gbalabasquer,0,[],0,0 days 04:41:50
Add tick to flop,50,MERGED,2019-08-07T16:53:27Z,2022-04-05T11:07:21Z,2019-08-07T23:19:19Z,2019-08-07T23:19:19Z,gbalabasquer,0,[],0,0 days 06:25:52
Add move function to pot,51,CLOSED,2019-08-07T18:25:10Z,2021-02-05T12:02:27Z,2019-09-10T18:20:47Z,,gbalabasquer,0,[],0,33 days 23:55:37
Flop varying sized mkr lots,52,MERGED,2019-08-07T23:18:09Z,2019-09-10T17:56:19Z,2019-09-10T17:56:15Z,2019-09-10T17:56:15Z,gbalabasquer,0,[],0,33 days 18:38:06
