PullRequestTitle,PullRequestNumber,PullRequestState,PullRequestCreatedAt,PullRequestUpdatedAt,PullRequestClosedAt,PullRequestMergedAt,PullRequestAuthor,PullRequestReviewsCount,PullRequestReviewers,PullRequestCommentsCount,ReviewDuration
Features/basic authenticate api,1,MERGED,2017-12-11T15:32:55Z,2017-12-11T19:07:58Z,2017-12-11T19:07:54Z,2017-12-11T19:07:54Z,dimroc,0,[],0,0 days 03:34:59
Clean up scheduler and rest of store on CTRL C,2,MERGED,2017-12-11T15:59:01Z,2018-01-06T17:55:23Z,2017-12-11T19:55:12Z,2017-12-11T19:55:12Z,dimroc,0,[],0,0 days 03:56:11
explicitly reset terminal state after getting pwd:,3,MERGED,2017-12-11T16:31:39Z,2017-12-11T18:25:40Z,2017-12-11T18:25:31Z,2017-12-11T18:25:30Z,dimroc,0,[],0,0 days 01:53:52
Features/encode bytes32,4,MERGED,2017-12-12T03:43:19Z,2017-12-12T14:24:23Z,2017-12-12T14:23:59Z,2017-12-12T14:23:59Z,se3000,1,['dimroc'],0,0 days 10:40:40
Allow no params for the EthBytes32 adapter,5,MERGED,2017-12-12T16:50:42Z,2017-12-12T18:56:57Z,2017-12-12T18:56:53Z,2017-12-12T18:56:53Z,dimroc,0,[],1,0 days 02:06:11
WIP: Adapters package (branches off of features/eth-tx-sending-adapter),6,MERGED,2017-12-13T08:10:21Z,2018-01-06T17:47:46Z,2017-12-18T21:44:13Z,2017-12-18T21:44:13Z,se3000,4,"['dimroc', 'se3000', 'se3000', 'dimroc']",3,5 days 13:33:52
rename tx models and refactor to use Ethereum specific types,7,MERGED,2018-01-08T04:09:13Z,2018-02-01T19:37:25Z,2018-01-08T14:30:00Z,2018-01-08T14:30:00Z,se3000,1,['dimroc'],0,0 days 10:20:47
Add CLI,8,MERGED,2018-01-08T16:52:17Z,2018-01-10T17:10:52Z,2018-01-10T17:10:46Z,2018-01-10T17:10:46Z,dimroc,0,[],0,2 days 00:18:29
CLI returns an exit code of 1 on error,9,MERGED,2018-01-10T22:44:20Z,2018-01-10T22:49:39Z,2018-01-10T22:49:32Z,2018-01-10T22:49:32Z,dimroc,0,[],0,0 days 00:05:12
Place api under /v2/ url,10,MERGED,2018-01-11T16:39:59Z,2018-01-11T17:15:32Z,2018-01-11T17:14:56Z,2018-01-11T17:14:56Z,dimroc,0,[],0,0 days 00:34:57
show job in api and cli returns runs,11,MERGED,2018-01-11T17:13:20Z,2018-01-11T17:26:56Z,2018-01-11T17:26:50Z,2018-01-11T17:26:50Z,dimroc,0,[],0,0 days 00:13:30
Features/eth logs,12,MERGED,2018-01-12T08:06:28Z,2018-01-15T17:58:02Z,2018-01-12T18:10:04Z,2018-01-12T18:10:04Z,se3000,1,['dimroc'],0,0 days 10:03:36
Chores: refactor and rename,13,MERGED,2018-01-15T06:46:55Z,2018-01-15T12:59:02Z,2018-01-15T12:58:55Z,2018-01-15T12:58:55Z,se3000,0,[],0,0 days 06:12:00
Various test cleanups and optimizations,14,MERGED,2018-01-15T23:44:44Z,2018-01-16T03:59:36Z,2018-01-16T03:50:41Z,2018-01-16T03:50:41Z,dimroc,5,"['se3000', 'se3000', 'se3000', 'se3000', 'dimroc']",0,0 days 04:05:57
Features/end at,15,MERGED,2018-01-16T05:23:30Z,2018-01-16T19:33:08Z,2018-01-16T19:33:04Z,2018-01-16T19:33:04Z,se3000,1,['dimroc'],2,0 days 14:09:34
DRY up Store.One calls with ORM.FindJob,16,MERGED,2018-01-16T16:18:23Z,2018-02-14T21:46:05Z,2018-01-16T17:29:58Z,2018-01-16T17:29:58Z,dimroc,0,[],0,0 days 01:11:35
Convert weakly typed adapter fields to strong types,17,MERGED,2018-01-16T17:02:47Z,2018-01-16T22:49:35Z,2018-01-16T22:49:31Z,2018-01-16T22:49:31Z,dimroc,3,"['dimroc', 'dimroc', 'dimroc']",0,0 days 05:46:44
"Shuffles around code in models/(job,task,job_run).go to have a more idiomatic layout.",18,MERGED,2018-01-17T00:07:40Z,2018-01-17T06:21:41Z,2018-01-17T06:21:37Z,2018-01-17T06:21:37Z,dimroc,0,[],0,0 days 06:13:57
support startAt time for jobs,19,MERGED,2018-01-17T07:32:44Z,2018-02-01T19:37:23Z,2018-01-18T20:17:47Z,2018-01-18T20:17:47Z,se3000,2,"['dimroc', 'se3000']",1,1 days 12:45:03
Introduce tabular output to the cli,20,MERGED,2018-01-18T17:05:00Z,2018-01-18T20:24:05Z,2018-01-18T20:24:02Z,2018-01-18T20:24:02Z,dimroc,1,['se3000'],1,0 days 03:19:02
Replace initiator string literals with constants,21,MERGED,2018-01-19T16:04:08Z,2018-01-19T17:32:42Z,2018-01-19T17:32:39Z,2018-01-19T17:32:39Z,dimroc,0,[],0,0 days 01:28:31
Ignore case in job json but preserve pretty casing in db,22,MERGED,2018-01-19T17:46:58Z,2018-01-19T20:08:56Z,2018-01-19T20:08:53Z,2018-01-19T20:08:53Z,dimroc,0,[],0,0 days 02:21:55
ignore expected failures of job running in the scheduler,23,MERGED,2018-01-19T19:51:48Z,2018-01-19T21:06:44Z,2018-01-19T21:06:41Z,2018-01-19T21:06:41Z,se3000,0,[],1,0 days 01:14:53
Whitelist allowed initiator types,24,MERGED,2018-01-19T21:33:15Z,2018-01-19T22:02:16Z,2018-01-19T22:02:14Z,2018-01-19T22:02:13Z,dimroc,4,"['se3000', 'dimroc', 'dimroc', 'se3000']",0,0 days 00:28:59
Correctly assign inline initiators job id in 1 LOC,25,MERGED,2018-01-20T00:01:25Z,2018-01-20T02:29:56Z,2018-01-20T02:29:17Z,2018-01-20T02:29:17Z,dimroc,0,[],1,0 days 02:27:52
Fix json tags to be proper casing,26,MERGED,2018-01-20T15:11:45Z,2018-01-21T06:53:18Z,2018-01-21T06:53:13Z,2018-01-21T06:53:13Z,dimroc,0,[],1,0 days 15:41:28
Only show keys relevant to the initiator,27,MERGED,2018-01-20T16:36:39Z,2018-01-21T06:57:27Z,2018-01-21T06:57:22Z,2018-01-21T06:57:22Z,dimroc,0,[],0,0 days 14:20:43
remove boilerplate in web tests,28,MERGED,2018-01-22T08:00:24Z,2018-01-22T13:10:09Z,2018-01-22T13:10:06Z,2018-01-22T13:10:06Z,se3000,0,[],0,0 days 05:09:42
introduce bridge adapter,29,MERGED,2018-01-22T08:00:51Z,2018-01-31T01:32:11Z,2018-01-31T01:29:56Z,2018-01-31T01:29:56Z,se3000,13,"['dimroc', 'se3000', 'dimroc', 'dimroc', 'se3000', 'se3000', 'dimroc', 'dimroc', 'se3000', 'se3000', 'se3000', 'dimroc', 'se3000']",3,8 days 17:29:05
Remove params from task json,30,MERGED,2018-01-22T19:55:26Z,2018-01-23T19:58:13Z,2018-01-23T02:15:52Z,2018-01-23T02:15:52Z,dimroc,0,[],3,0 days 06:20:26
Update README to include detailed instructions,31,MERGED,2018-01-24T00:51:01Z,2018-01-26T18:15:15Z,2018-01-26T18:13:42Z,2018-01-26T18:13:42Z,thodges-gh,2,"['dimroc', 'thodges-gh']",3,2 days 17:22:41
"Simplify README export commands, clarify .envrc section, add more det…",32,MERGED,2018-01-27T10:32:35Z,2018-01-28T20:42:46Z,2018-01-28T20:42:40Z,2018-01-28T20:42:40Z,jordanbonilla,6,"['thodges-gh', 'dimroc', 'dimroc', 'thodges-gh', 'jordanbonilla', 'jordanbonilla']",1,1 days 10:10:05
Starting GoDocs in adapters,33,MERGED,2018-01-27T16:02:12Z,2018-01-28T20:44:15Z,2018-01-28T20:44:12Z,2018-01-28T20:44:12Z,thodges-gh,6,"['dimroc', 'dimroc', 'thodges-gh', 'thodges-gh', 'se3000', 'se3000']",2,1 days 04:42:00
json logging writes to stderr and has correct call skip,34,MERGED,2018-01-27T16:36:48Z,2018-01-28T20:40:36Z,2018-01-28T20:27:13Z,2018-01-28T20:27:13Z,dimroc,0,[],2,1 days 03:50:25
Updated adapters Godoc and added for services,35,MERGED,2018-01-29T22:19:58Z,2018-02-01T19:37:28Z,2018-01-30T19:56:41Z,2018-01-30T19:56:41Z,thodges-gh,1,['dimroc'],0,0 days 21:36:43
"Ability to pass pwd to cli, improve RunNode test coverage",36,MERGED,2018-01-29T22:45:40Z,2018-01-30T00:07:30Z,2018-01-30T00:07:20Z,2018-01-30T00:07:20Z,dimroc,6,"['se3000', 'dimroc', 'dimroc', 'dimroc', 'dimroc', 'se3000']",0,0 days 01:21:40
Rearchitect Authenticator for testability and improve test coverage,37,MERGED,2018-01-30T21:21:01Z,2018-01-30T21:30:52Z,2018-01-30T21:30:48Z,2018-01-30T21:30:48Z,dimroc,1,['se3000'],0,0 days 00:09:47
